beauty_title,yes_relevancy,no_relevancy
"ST. TROPEZ - first vlog he edited!! Shopping at Chanel, Hermès & more",0.8739262223,0.1260737926
CHANEL CLASSIC BAG | Unboxing - Whats Fit - Price etc,0.09000729769,0.9099926353
REVERDECERAS - Letras | Chanel Novas ft Nimsy Lopez @Lyrics Music❤️,3.44E-06,0.9999965429
I TRIED ANOTHER CHANEL FOUNDATION..,0.9922657609,0.007734187413
Dior Sauvage Elixir VS Bleu de Chanel EDP - Girls reactions - Fragrance Battle!,0.002452063141,0.9975479245
Frank Ocean.- Chanel / SUBTITULADA EN ESPAÑOL /,1.40E-05,0.9999860525
【シャネル縛りメイク】値上げ前必見！CHANEL爆買い購入品紹介◎2022年新作コスメから定番人気アイテムまで大量レビュー,0.3845782876,0.6154216528
CHANEL HANDBAG COLLECTION | Jerusha Couture,0.2448398471,0.7551601529
Actuación de Chanel en la gala de la reina del carnaval de Santa Cruz de Tenerife 2022,0.05117619783,0.9488238096
Chanel - SloMo - Spain 🇪🇸 - National Final vs Eurovision Song Contest 2022,0.001815227326,0.9981847405
I bought Blackpink Jennie's favorite Chanel bag 🤑 | JANE CHUCK,0.9094843268,0.09051561356
CHANEL NOVAS - Me Multiplicaré - IGLESIA CIPRÉS INTERNACIONAL,0.005528405309,0.9944716692
toobrokeforfiji x makko x beslik meister - Chanel Shades (prod. Tschickgott) Official Video,0.01862734929,0.981372714
"Kepala BRIN Melanggar PerPres, Drone Elang Hitam Bubar,, Dijadikan Drone Sipil - Kacau",8.60E-05,0.9999140501
CHANEL - TE INVITO A SOÑAR,0.1297805309,0.8702195287
"N°5, the Film with Gisele Bündchen, Michiel Huisman and Lo-Fang – CHANEL Fragrance",0.580974102,0.4190259874
Derik Fein - Chanel Perfume,0.0310752634,0.9689247012
Frah Quintale - Chanel (Studio Session),0.3793508112,0.6206492186
dreamr. & Ruff - Summer '16 (Lyrics) ft. Chanel Yates,0.0353481099,0.9646518826
CHANEL 22A UNBOXING!!! Finally the baby is here!!! 🫣🥰♥️,0.5453184247,0.4546816349
"66 Questions: Subwoolfer's first kiss, Chanel's kick, S10's Bzzz... | Eurovision 2022 | Ep 1",0.9636563063,0.03634366766
COMPARING MODERATE QUALITY TO HIGH QUALITY FAKES | CHANEL CLASSIC FLAP,0.7174162269,0.2825837731
ESTO ME RESPONDIÓ CHANEL DE LOS TENIS DAÑADOS 👀 STORYTIME- Pautips,0.0001990164601,0.9998009801
I AM 18 PLACE VENDÔME – CHANEL Watches and Fine Jewelry,0.06286332756,0.9371366501
Gabrielle ou la passion – Inside CHANEL,0.4050324261,0.5949676037
Chanel Novas - Eres Bienvenido Live (Video Oficial),0.0005617386196,0.9994382262
Massive Paris Luxury Haul 🍊| myclosettravels,0.8373864293,0.1626135558
Jennie 제니 [BLACKPINK] - Chanel Spring Summer 2022 fashion show in Paris - 05.10.2021,0.9965097308,0.003490278497
"Chanel Novas, Rosa Karina - Sigues Amándome (Video Lyric Oficial)",0.007642419077,0.9923575521
EUROVISION 2022 Jury Final: Chanel - SloMo (Spain’s Live Performance),0.01978820004,0.9802117348
"Chanel Novas, Nimsy Lopez - Reverdecerás (VIDEO LYRIC OFICIAL)",0.001615024405,0.9983849525
Chanel West Coast - I Want You (Official Music Video),0.1520176679,0.8479824066
Chanel West Coast Laughing For 7 Minutes Straight 😂 Ridiculousness,0.7855987549,0.2144012153
5 Fragrances Better than BLEU DE CHANEL,0.9976078272,0.002392126946
Are Chanel Sandals Worth the Money | Summer Outfits With Chunky Sandals,0.9709768891,0.02902310155
Mad Clip x DJ.Silence - Chanel - Official Music Video,0.002654404845,0.9973456264
Chanel Bag Unboxing,0.03712505847,0.962874949
Pregón de CHANEL | Orgullo Madrid 2022,0.4313899279,0.5686100721
"Best Of Rob, Steelo, & Chanel SUPER COMPILATION 🤣 Ridiculousness | #AloneTogether",0.08354374021,0.9164562225
Lynda - Coco Chanel (Paroles/Lyrics),0.2165102512,0.7834897637
Slo Mo Chanel - Enola Bedard - Kyle Hanagami Choreography,0.8762115836,0.1237883717
Chanel 🇪🇸 Spain - Rehearsal Eurovision 2022 - SloMo HD,0.0628689155,0.9371311069
МОИ ПЕРВЫЕ ЧАСЫ ROLEX | СУМКА CHANEL ВЕРНУЛАСЬ ИЗ РЕМОНТА ЧЕРЕЗ ПОЛГОДА,0.0003512389958,0.9996488094
মিন্টু বেজবৰুৱাৰ নাম @Mahesh Deka Youtube chanel 8638611493,0.0002346015244,0.9997654557
The Orphaned Girl Who Invented Chanel,0.02983250469,0.9701675177
好難抉擇!CHANEL新舊金球方胖PK，哪款更值得入手？,0.1770831943,0.8229168057
CHANEL CLASSIC FLAP MEDIUM 1 YEAR REVIEW | IS IT STILL WORTH THE INSANE PRICE INCREASE | LETS CHAT!,0.9755920768,0.02440792136
"N°1 DE CHANEL, BEAUTY AHEAD OF TIME - CHANEL Skincare",0.9815078378,0.01849216036
SloMo by Chanel | Spain Eurovision 2022 Male Version,0.07434278727,0.9256571531
American Boy (Frank Ocean Shibuya Chanel Remix) [LYRICS],2.81E-05,0.9999719858
Gabrielle Chanel and Music — Inside CHANEL,0.8173292279,0.1826708019
Gabrielle Chanel and Dance — Inside CHANEL,0.8540622592,0.1459377557
CHANEL - MANITA DE FATIMA (PROD. TRIGGER TRACKS),3.49E-07,0.9999996424
"22P CHANEL VANITY UNBOXING, FIRST IMPRESSIONS + WHAT FITS...",0.9696341157,0.03036595136
How to spot a fake Chanel...Real vs Fake: Chanel Mini Classic Flap Bag | Luxury Promise,0.9439697266,0.05603026599
Stand-In Rehearsal - Eurovision 2022 - Spain - Chanel - SloMo,0.02402456664,0.9759753942
上半年奢侈包包合集-愛馬仕 Hermes | CHANEL 22 | Celine AVA| LV buci,0.0157874357,0.9842125773
"Chanel - ""SloMo"" - Special Multicam video -  Eurovision Song Contest 2022 (🇪🇸Spain)",0.004630909301,0.9953690171
AUTHENTIC CHANEL vs REPLICA CHANEL | IS SHEBAG REALLY A 1:1 MIRROR REPLICA?! (Comparison Video),0.8880808949,0.1119191423
Anything Chanel can do Keith can do woolfer……🤪 looking forward to Saturdays performance!,0.9316391945,0.06836076081
CHANEL ya se había pasado el juego antes de la FINAL de EUROVISIÓN  | Netflix España,0.0005895372014,0.9994105101
KHALED FT CHANEL - NO SABEIS NADA,0.04986992478,0.9501300454
"Bacilos, Morat - Tabaco y Chanel (Letra/Lyrics)",0.009082234465,0.9909177423
"CHANEL Connects - Season 2, episode 5 -  Kehinde Wiley & Misan Harriman discuss Mythmaking",0.006903170608,0.9930967689
Mauve Pink 🌸 Chanel Bag #Unboxing,0.9623919725,0.03760797903
Zedk ft Trappo - Chanel (Music Video) | @MixtapeMadness,0.04244029149,0.9575597048
"Chanel feat. Leto ""Maladie du cœur"" #PlanèteRap",0.01519341487,0.9848065972
Is This Ivory Iridescent Chanel Bag Worth The Hype?,0.995237112,0.004762883298
CHANEL - SUIS MOI J12 #1,0.2957686782,0.7042312622
CHANEL ¡En las cocinas del programa! | MasterChef 10,0.00018565754,0.9998143315
Only Chanel Elite VIPS Allowed | No More Chanel Waitlist?,0.7569499016,0.2430500984
Chanel Novas - Regresa Live (Video Oficial),0.1959307343,0.8040692806
Chanel-SloMo |Grand Final Live Reaction from the EuroVillage🤯 (SPAIN🇪🇦 Eurovision 2022),7.31E-05,0.9999268055
Thrife - CHANEL,4.50E-05,0.9999550581
CHANEL MYSTERY BOX UNBOXING & REVIEW,0.9738278985,0.02617210522
CHANEL NOVA TE EQUIBOCASTE OTRA VES,0.8325612545,0.1674387753
Slo Mo Chanel Zumba Coreografia #zumba #slomo #chanel #coreografia #baile #choreo,0.8371699452,0.1628300101
"Chanel - ""SloMo"" | Ganadora Benidorm Fest 2022 | La Gran Final ",0.01211120375,0.9878887534
Frank Ocean - Chanel                                          (tradução/legendado),0.0008008265868,0.9991992116
Chanel Mehak Da : Parry Sidhu (Official Video) | Latest Punjabi Songs 2021 | Nischay Records,8.82E-06,0.9999911785
22S Chanel Runway Double Unboxing,0.9659810066,0.03401901573
Gabrielle Chanel Essence Margot Robbie: making of,0.0793742463,0.9206256866
"Chanel: ""Ich liebe dich, Mäuschen"" | Speeddate | Eurovision Song Contest | NDR",0.0001568785083,0.9998431206
Gimme Shelter - The Rolling Stones - Milan - 21st June 2022 - with Chanel Haynes,0.0001008008549,0.9998991489
EUROVISION 2022 - SPAIN - REACTION - CHANEL - SLOMO - FINAL,0.07783359289,0.9221664667
Chanel Novas - Me Multiplicaré (Video Lyrics),0.002227926394,0.997772038
CHANEL NOVAS : TRAE AQUI EL CIELO (COVER) Barak,0.0002047576418,0.999795258
CA7RIEL - Chanel Maconha,0.0269393269,0.9730606675
Chanel blue original va poddelka farqlari. Оригинал ва аналог фарклари,0.02563546412,0.9743645191
Chanel - Chwila wspomnień,0.8728089929,0.1271909922
CHANEL canta SLOMO en la London Eurovision Party | ACTUACIÓN,0.0119444076,0.9880556464
Chanel - Vrai 2 Vrai (Prod by Mufasa),5.06E-05,0.9999493361
Chanel Hydra Beauty Micro Gel Yeux - Eye Cream,0.9363207221,0.06367920339
Bag of the Day 26: CHANEL Mini Rectangular in Violet Lambskin Leather 20C 2020 Cruise purple,0.610943079,0.3890568912
CHANEL 2.55 HANDBAG - REISSUE IN BLACK CAVIAR LEATHER AND RUTHINEUM HARDWARE (SIZE 225),0.9688152671,0.03118471056
"[EXCLU] Chanel ""Jdid"" #PlanèteRap",0.9101900458,0.08981000632
Primeras declaraciones de Chanel tras el bronce en Eurovisión 2022 con SloMo,0.0001228624606,0.9998770952
Scream Queens: Temporada 1 | Chanel Oberlin [Mejores Momentos],0.1368761659,0.8631238341
"BC Raff ""Chanel"" [VIDEO CLIPE OFICIAL] Prod @GLFBeats Dir. @GuettoLifeFilms",0.0009919613367,0.9990081191
"Chanel 22C Shopping Vlog, Chanel Cruise Collection 2022 Classic Flaps and Neutrals",0.9809474945,0.01905244775
"ESC2022, Spagna contro Malgioglio per le critiche a Chanel - La vita in diretta 13/05/2022",0.002996583004,0.9970033765
[1 HORA] Chanel - SloMo (Letra/Lyrics) Spain 🇪🇸 Eurovision 2022,0.08387891948,0.9161210656
CHANEL 21P  UNBOXING | 2021 - 21P DREAM BAG 🥰  #chanel 21p,0.0275879167,0.9724120498
Chanel - SloMo (Actuación en 'Gala de la Reina del Carnaval de Santa Cruz de Tenerife 2022'),0.01952706091,0.9804729819
CHANEL gana el Benidorm Fest con 'SloMo' | Eurovisión 2022,0.03229051456,0.9677094817
Chanel feat. Leto - Conte de fée #PlanèteRap,0.001425327733,0.9985746145
"Sidoka ""Chanel, Prada""",0.5081734061,0.4918266237
CHANEL se somete al TEST DE LA VERDAD | La noche D,0.004329180811,0.9956707954
Chanel - Moja ukochana,0.8596372604,0.1403627396
Pregón de CHANEL en el Orgullo Madrid 2022,0.3699276149,0.6300724149
CHANEL CRUISE 2022 | Sneak Peak of The Bags,0.1360801011,0.8639199138
Eurovisión 2022 [España] Chanel — SloMo (Subtitulado al Español),0.0001177045197,0.9998823404
Transform your Chanel Bag using just one thing 😍 #shortsfeed,0.7981747985,0.2018252015
La Tchad ft. Chanel _ PRAN TOUTE,0.4534575939,0.5465424657
Chanel Pink Favorites | Chanel LV #chanelbychanellv,0.8974760175,0.1025239155
"Chanel ""Wszystkie noce""",0.03092085198,0.9690791368
CHANEL - LA CORONA ES MÍA (PROD. TRIGGER TRACKS),2.83E-07,0.9999997616
"[Exclu] Chanel ""Saison"" #PlanèteRap",0.05590165406,0.9440982938
CHANEL presenta el VIDEOCLIP de ‘SloMo’ | Rueda de prensa,0.001279578544,0.9987204075
CHANEL SPRING SUMMER COLLECTION 2022 | Unicorn Handbags From 22S,0.9974291921,0.002570800716
Chanel 22A Emerald green! #shorts,0.9903876185,0.009612385184
【シャネル秋どれ買う？】バニティの進化!? Chanel 22B Collection | 2022 Best,0.9750995636,0.02490038238
J’AI ENCORE GALÉRÉ POUR AVOIR UN SAC CHANEL 😭 *Unboxing Chanel*,0.4609670937,0.5390329361
NXN - Chanel,0.01481860504,0.9851814508
@SorinelPustiuOficial  - Mademoiselle Coco Chanel | Official video |,0.1094589159,0.8905410171
"Citations inégalées de Coco Chanel sur les Femmes, la Beauté, les Hommes et la Vie",0.01439978555,0.9856002331
"Malinche, el musical de Nacho Cano con Chanel",0.000245846255,0.9997541308
КОСМЕТИКА ДЛЯ БОГАТЫХ? 🤔СТОИТ ЛИ КОПИТЬ НА CHANEL?,5.80E-05,0.9999420643
Citations de COCO CHANEL sur la FEMME à écouter absolument ! | citations sur la femme,0.001902761171,0.9980972409
Chanel TRIUNFA en MTV: “Todavía no lo hemos superado”,0.0008279055473,0.9991720915
"WC no Beat - CHANEL Feat.  Mc Don Juan, Jovem Dex & MC Hariel",0.007842869498,0.9921571016
【7月価格改定　CHANELコスメ】7月の値上げ前におさらい！持っておくべき？下地・ファンデーション〜アイシャドウ・リップまで！ おすすめアイテムをメイクしながらご紹介【シャネルコスメ 】,0.002103167819,0.9978967905
Antonio Zinna Ft. Chanel - Si nu turmento ( Ufficiale 2021 ),0.6602323055,0.3397676647
Chanel - SloMo | Gala Benéfica #UcraniaEnElCorazón | Eurovision 2022,0.009858388454,0.9901415706
Corte de cabelo chanel passo a passo - bob,0.009882939048,0.9901170135
What's in my bag? | Chanel Classic Flap Edition | Viviennekho,0.8195949197,0.1804050952
BOBKATA x Red Brodie - CHANEL [Official Audio],0.06584563851,0.9341543317
CHANEL 22P COLLECTION SPRING ACT 1_ FIRST LOOK,0.9942307472,0.005769281648
took her to chanel,0.0383062847,0.9616937041
FASHION WEEK PARIS  EXIT CHANEL        25/01/2022,0.5947211385,0.4052788615
Chanel in Sardinia | Vlog,7.53E-05,0.9999246597
"Mix Para Bailar (En Vivo) Cara Luna, Tabaco Y Chanel , Procura, Un Montón de Estrellas",0.01336051431,0.9866394401
Unboxing Rare Chanel 22C Black and White Mini / Why Choose Mini vs Medium / Lambskin vs Calfskin,0.488535583,0.511464417
Chanel No 5 - You're The One That I Want,0.5715257525,0.4284743071
"Eurovision: Η εκπρόσωπος της Ισπανίας, Chanel, μιλά αποκλειστικά στο Love It",0.02227973007,0.9777202606
MGNG — COCO prod. MRGH,0.03023665771,0.9697633386
REACCIÓN al segundo ensayo de Chanel en Eurovisión,0.0005050616455,0.9994949102
La Bella Chanel | Tu vales y no lo ves tú eres todo y no lo ves ustedes son diamantes.,0.001333378954,0.9986666441
Chanel Fall 2021 Nail Colours,0.988874197,0.01112583186
Samantha Hudson se moja y opina sobre que Chanel dé el pregón del Orgullo,0.01322542876,0.9867745638
Así vivimos el Orgullo LGTBIQ+ en la carroza de RTVE con CHANEL y eurovisivos - Eurovisión Diaries,0.0002080215054,0.9997920394
“Woke Dating” 🎤: Chanel Ali - #comedy #chanelali #dating #donttellcomedy #shorts,0.05135434866,0.9486456513
Coco Chanel,0.8481937051,0.1518062651
CHANEL CRUISE COLLECTION 2023 | Favorite Looks ❤️,0.9932610393,0.006738999393
"Chanel Novas, Rosa Karina - Sigues Amándome (Short Version Audio)",0.368953377,0.6310465932
CHANEL - BOULEVARD DE SUEÑOS ROTOS (PROD. TRIGGER TRACKS),3.81E-08,1
La Bella Chanel | No te límites a vivir que los hombres van y vienen,0.0004828872334,0.9995170832
Las Chanel Estan Locas // Scream Queens,0.1440652907,0.8559347391
La Bella Chanel | Las Prioridades,0.553044796,0.4469552338
CHANELL - QUE IMPORTA (Video Oficial),0.007725037169,0.99227494
22A Chanel 19 Card Holder Green Mix Finition,0.9738510847,0.02614889108
Frank Ocean - Chanel,0.0008730789996,0.9991269708
